config,method,seed,mrr,log
clean,ppr,1234,0.564967,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/ppr_s1234_tk0.1_test.log
clean,rerank,123,0.566121,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/rerank_s123_tk0.1_test.log
clean,ppr,42,0.564645,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/ppr_s42_tk0.1_test.log
clean,hybrid,123,0.56663,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/hybrid_s123_tk0.1_test.log
clean,ppr,123,0.561833,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/ppr_s123_tk0.1_test.log
clean,hybrid,1234,0.569055,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/hybrid_s1234_tk0.1_test.log
clean,rerank,1234,0.569708,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/rerank_s1234_tk0.1_test.log
clean,hybrid,42,0.569501,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/hybrid_s42_tk0.1_test.log
clean,rerank,42,0.569653,/home/vanba/KLTN/one-shot-subgraph/grid_t78_wn18rr/rerank_s42_tk0.1_test.log
del05,ppr,1234,0.512457,/home/vanba/KLTN/one-shot-subgraph/robustness_t10/rob_WN18RR_del05_ppr_s1234.log
reldel,rerank,42,0.568166,/home/vanba/KLTN/one-shot-subgraph/robustness_t10/rob_WN18RR_reldel_rerank_s42.log
del10,ppr,42,0.475139,/home/vanba/KLTN/one-shot-subgraph/robustness_t10/rob_WN18RR_del10_ppr_s42.log
del20,ppr,42,0.417166,/home/vanba/KLTN/one-shot-subgraph/robustness_t10/rob_WN18RR_del20_ppr_s42.log
reldel,rerank,123,0.56399,/home/vanba/KLTN/one-shot-subgraph/robustness_t10/rob_WN18RR_reldel_rerank_s123.log
del05,hybrid,42,0.516839,/home/vanba/KLTN/one-shot-subgraph/robustness_t10/rob_WN18RR_del05_hybrid_s42.log
reldel,hybrid,42,0.567137,/home/vanba/KLTN/one-shot-subgraph/robustness_t10/rob_WN18RR_reldel_hybrid_s42.log
del05,rerank,42,0.516745,/home/vanba/KLTN/one-shot-subgraph/robustness_t10/rob_WN18RR_del05_rerank_s42.log
del05,rerank,1234,0.515963,/home/vanba/KLTN/one-shot-subgraph/robustness_t10/rob_WN18RR_del05_rerank_s1234.log
del10,hybrid,1234,0.476798,/home/vanba/KLTN/one-shot-subgraph/robustness_t10/rob_WN18RR_del10_hybrid_s1234.log
del20,ppr,1234,0.414904,/home/vanba/KLTN/one-shot-subgraph/robustness_t10/rob_WN18RR_del20_ppr_s1234.log
del05,ppr,42,0.513088,/home/vanba/KLTN/one-shot-subgraph/robustness_t10/rob_WN18RR_del05_ppr_s42.log
del10,rerank,42,0.479617,/home/vanba/KLTN/one-shot-subgraph/robustness_t10/rob_WN18RR_del10_rerank_s42.log
del05,hybrid,123,0.511471,/home/vanba/KLTN/one-shot-subgraph/robustness_t10/rob_WN18RR_del05_hybrid_s123.log
del05,rerank,123,0.511436,/home/vanba/KLTN/one-shot-subgraph/robustness_t10/rob_WN18RR_del05_rerank_s123.log
del10,hybrid,123,0.473055,/home/vanba/KLTN/one-shot-subgraph/robustness_t10/rob_WN18RR_del10_hybrid_s123.log
del10,hybrid,42,0.478476,/home/vanba/KLTN/one-shot-subgraph/robustness_t10/rob_WN18RR_del10_hybrid_s42.log
del20,hybrid,123,0.419897,/home/vanba/KLTN/one-shot-subgraph/robustness_t10/rob_WN18RR_del20_hybrid_s123.log
del10,rerank,1234,0.477977,/home/vanba/KLTN/one-shot-subgraph/robustness_t10/rob_WN18RR_del10_rerank_s1234.log
del20,rerank,42,0.422124,/home/vanba/KLTN/one-shot-subgraph/robustness_t10/rob_WN18RR_del20_rerank_s42.log
reldel,hybrid,1234,0.566143,/home/vanba/KLTN/one-shot-subgraph/robustness_t10/rob_WN18RR_reldel_hybrid_s1234.log
reldel,ppr,42,0.56284,/home/vanba/KLTN/one-shot-subgraph/robustness_t10/rob_WN18RR_reldel_ppr_s42.log
reldel,ppr,1234,0.56185,/home/vanba/KLTN/one-shot-subgraph/robustness_t10/rob_WN18RR_reldel_ppr_s1234.log
reldel,rerank,1234,0.566754,/home/vanba/KLTN/one-shot-subgraph/robustness_t10/rob_WN18RR_reldel_rerank_s1234.log
del20,hybrid,42,0.421132,/home/vanba/KLTN/one-shot-subgraph/robustness_t10/rob_WN18RR_del20_hybrid_s42.log
del10,ppr,123,0.469665,/home/vanba/KLTN/one-shot-subgraph/robustness_t10/rob_WN18RR_del10_ppr_s123.log
reldel,hybrid,123,0.564833,/home/vanba/KLTN/one-shot-subgraph/robustness_t10/rob_WN18RR_reldel_hybrid_s123.log
del20,ppr,123,0.415616,/home/vanba/KLTN/one-shot-subgraph/robustness_t10/rob_WN18RR_del20_ppr_s123.log
del05,hybrid,1234,0.516127,/home/vanba/KLTN/one-shot-subgraph/robustness_t10/rob_WN18RR_del05_hybrid_s1234.log
del20,rerank,1234,0.41886,/home/vanba/KLTN/one-shot-subgraph/robustness_t10/rob_WN18RR_del20_rerank_s1234.log
del10,ppr,1234,0.475062,/home/vanba/KLTN/one-shot-subgraph/robustness_t10/rob_WN18RR_del10_ppr_s1234.log
del05,ppr,123,0.508355,/home/vanba/KLTN/one-shot-subgraph/robustness_t10/rob_WN18RR_del05_ppr_s123.log
reldel,ppr,123,0.560013,/home/vanba/KLTN/one-shot-subgraph/robustness_t10/rob_WN18RR_reldel_ppr_s123.log
del20,rerank,123,0.419546,/home/vanba/KLTN/one-shot-subgraph/robustness_t10/rob_WN18RR_del20_rerank_s123.log
del10,rerank,123,0.47308,/home/vanba/KLTN/one-shot-subgraph/robustness_t10/rob_WN18RR_del10_rerank_s123.log
del20,hybrid,1234,0.419827,/home/vanba/KLTN/one-shot-subgraph/robustness_t10/rob_WN18RR_del20_hybrid_s1234.log
